-framework alewrap -game_path /home/ubuntu/deepmind-atari/roms/ -name DQN3_0_1_gopher_FULL_Y -env gopher -env_params useRGB=true -agent NeuralQLearner -agent_params lr=0.00025,ep=1,ep_end=0,ep_endt=0,discount=0.99,hist_len=4,learn_start=1,replay_memory=1000000,update_freq=4,n_replay=1,network="DQN3_0_1_gopher_FULL_Y.t7",preproc="net_downsample_2x_full_y",state_dim=7056,minibatch_size=32,rescale_r=1,ncols=1,bufferSize=512,valid_size=500,target_q=10000,clip_delta=1,min_reward=-1,max_reward=1 -steps 50000000 -eval_freq 1250000 -eval_steps 1250000 -prog_freq 1000000 -save_freq 1250000 -actrep 4 -gpu 0 -random_starts 30 -pool_frms type="max",size=2 -seed 1 -threads 4 -ale_host 52.8.225.234 -ale_port 17010 -ale_login team_10 -ale_pass yzvpDK
!!!!!ale_pass:	yzvpDK	 ale_login:	team_10
Torch Threads:	4
Using GPU device id:	0
Torch Seed:	1
CUTorch Seed:	1791095845
{
  useRGB = true,
  ale_host = "52.8.225.234",
  ale_port = 17010
}
AUTH: team_10,yzvpDK,gopher

MSG: 	160-210

Playing:	gopher
Set up Torch using these options:
eval_steps	1250000
seed	1
name	DQN3_0_1_gopher_FULL_Y
ale_port	17010
verbose	2
network	
tensorType	torch.FloatTensor
ale_pass	yzvpDK
random_starts	30
ale_login	team_10
game_path	/home/ubuntu/deepmind-atari/roms/
gpu	1
eval_freq	1250000
save_versions	0
env_params	table: 0x417cff40
saveNetworkParams	false
prog_freq	1000000
agent_params	table: 0x417304a8
steps	50000000
framework	alewrap
agent	NeuralQLearner
threads	4
actrep	4
pool_frms	table: 0x417cfd58
ale_host	52.8.225.234
save_freq	1250000
env	gopher
Iteration ..	0
Eval_steps 	1250000
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
reward:0, total:0
